,date,vacances_zone_a,vacances_zone_b,vacances_zone_c,nom_vacances,Year,Month,Day
534,1991-06-19,False,False,False,,1991,6,19
535,1991-06-20,False,False,False,,1991,6,20
536,1991-06-21,False,False,False,,1991,6,21
537,1991-06-22,False,False,False,,1991,6,22
538,1991-06-23,False,False,False,,1991,6,23
539,1991-06-24,False,False,False,,1991,6,24
540,1991-06-25,False,False,False,,1991,6,25
541,1991-06-26,False,False,False,,1991,6,26
542,1991-06-27,False,False,False,,1991,6,27
543,1991-06-28,False,False,False,,1991,6,28
544,1991-06-29,False,False,False,,1991,6,29
545,1991-06-30,False,False,False,,1991,6,30
546,1991-07-01,False,False,False,,1991,7,1
547,1991-07-02,False,False,False,,1991,7,2
548,1991-07-03,False,False,False,,1991,7,3
549,1991-07-04,False,False,False,,1991,7,4
550,1991-07-05,False,False,False,,1991,7,5
551,1991-07-06,False,False,False,,1991,7,6
552,1991-07-07,True,True,True,Vacances d'été,1991,7,7
553,1991-07-08,True,True,True,Vacances d'été,1991,7,8
554,1991-07-09,True,True,True,Vacances d'été,1991,7,9
555,1991-07-10,True,True,True,Vacances d'été,1991,7,10
556,1991-07-11,True,True,True,Vacances d'été,1991,7,11
557,1991-07-12,True,True,True,Vacances d'été,1991,7,12
558,1991-07-13,True,True,True,Vacances d'été,1991,7,13
559,1991-07-14,True,True,True,Vacances d'été,1991,7,14
560,1991-07-15,True,True,True,Vacances d'été,1991,7,15
561,1991-07-16,True,True,True,Vacances d'été,1991,7,16
562,1991-07-17,True,True,True,Vacances d'été,1991,7,17
